,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM
45790,#doc=describingvideo2.txt,,,,,,,,,,,,,,
45791,1,﻿,﻿,﻿,﻿,PUNC,3,предик,_,_,,,,,
45792,2,SViBLASH,SVIBLASH,NONLEX,,NONLEX,1,аппоз,_,_,,,NONLEX,SVIBLASH,NONLEX
45793,3,@,@,@,,PUNC,0,ROOT,_,_,,,@,@,@
45794,4,Итак,ИТАК,PARENTH,,CONJ,3,сравнит,_,_,,,CONJ,ИТАК,CONJ
45795,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
45796,6,сегодня,СЕГОДНЯ,ADV -,,ADV -,0,ROOT,_,_,,,ADV,СЕГОДНЯ,ADV -
45797,7,мы,МЫ,SPRO pl 1p - nom,,SPRO pl 1p - nom,0,ROOT,_,_,,,SPRO,МЫ,SPRO pl 1p - nom
45798,8,будем,БЫТЬ,V ipf - pl fut - 1p,,V ipf - pl imper - 1p,10,опред,_,_,,,V,БЫТЬ,V ipf - pl imper - 1p
45799,9,<,<,<,,PUNC,10,опред,_,_,,,<,<,<
45800,10,distinct,DISTINCT,NONLEX,,NONLEX,12,композ,_,_,,,NONLEX,DISTINCT,NONLEX
45801,11,form,FORM,NONLEX,,NONLEX,10,аппоз,_,_,,,NONLEX,FORM,NONLEX
45802,12,#ERROR!,#ERROR!,#ERROR!,,PUNC,14,1-компл,_,_,,,#ERROR!,#ERROR!,#ERROR!
45803,13,	,_,PUNC,,14,PUNC,_,_,,,,_,_,PUNC
45804,14,стреть,СТРЕТЬ,distort,,V pf - - inf - -,17,1-компл,_,_,,,V,СТРЕТЬ,V pf - - inf - -
45805,15,	,_,PUNC,,14,PUNC,_,_,,,,_,_,PUNC
45806,16,>,>,>,,PUNC,19,опред,_,_,,,>,>,>
45807,17,смотреть,СМОТРЕТЬ,V ipf - - inf - -,,V ipf - - inf - -,16,1-компл,_,_,,,V,СМОТРЕТЬ,V ipf - - inf - -
45808,18,<,<,<,,PUNC,17,1-компл,_,_,,,<,<,<
45809,19,/,/,/,,PUNC,0,ROOT,_,_,,,/,/,/
